vault_id,bank_id,start_x,end_x,start_y,end_y,z
0,0,0,15,0,15,0
0,1,0,15,16,31,0
0,2,16,31,0,15,0
0,3,16,31,16,31,0
0,4,32,47,0,15,0
0,5,32,47,16,31,0
0,6,48,63,0,15,0
0,7,48,63,16,31,0
0,8,64,79,0,15,0
0,9,64,79,16,31,0
0,10,80,95,0,15,0
0,11,80,95,16,31,0
0,12,96,111,0,15,0
0,13,96,111,16,31,0
0,14,112,127,0,15,0
0,15,112,127,16,31,0
1,0,0,15,32,47,0
1,1,0,15,48,63,0
1,2,16,31,32,47,0
1,3,16,31,48,63,0
1,4,32,47,32,47,0
1,5,32,47,48,63,0
1,6,48,63,32,47,0
1,7,48,63,48,63,0
1,8,64,79,32,47,0
1,9,64,79,48,63,0
1,10,80,95,32,47,0
1,11,80,95,48,63,0
1,12,96,111,32,47,0
1,13,96,111,48,63,0
1,14,112,127,32,47,0
1,15,112,127,48,63,0
2,0,0,15,0,15,1
2,1,0,15,16,31,1
2,2,16,31,0,15,1
2,3,16,31,16,31,1
2,4,32,47,0,15,1
2,5,32,47,16,31,1
2,6,48,63,0,15,1
2,7,48,63,16,31,1
2,8,64,79,0,15,1
2,9,64,79,16,31,1
2,10,80,95,0,15,1
2,11,80,95,16,31,1
2,12,96,111,0,15,1
2,13,96,111,16,31,1
2,14,112,127,0,15,1
2,15,112,127,16,31,1
3,0,0,15,32,47,1
3,1,0,15,48,63,1
3,2,16,31,32,47,1
3,3,16,31,48,63,1
3,4,32,47,32,47,1
3,5,32,47,48,63,1
3,6,48,63,32,47,1
3,7,48,63,48,63,1
3,8,64,79,32,47,1
3,9,64,79,48,63,1
3,10,80,95,32,47,1
3,11,80,95,48,63,1
3,12,96,111,32,47,1
3,13,96,111,48,63,1
3,14,112,127,32,47,1
3,15,112,127,48,63,1
4,0,0,15,0,15,2
4,1,0,15,16,31,2
4,2,16,31,0,15,2
4,3,16,31,16,31,2
4,4,32,47,0,15,2
4,5,32,47,16,31,2
4,6,48,63,0,15,2
4,7,48,63,16,31,2
4,8,64,79,0,15,2
4,9,64,79,16,31,2
4,10,80,95,0,15,2
4,11,80,95,16,31,2
4,12,96,111,0,15,2
4,13,96,111,16,31,2
4,14,112,127,0,15,2
4,15,112,127,16,31,2
5,0,0,15,32,47,2
5,1,0,15,48,63,2
5,2,16,31,32,47,2
5,3,16,31,48,63,2
5,4,32,47,32,47,2
5,5,32,47,48,63,2
5,6,48,63,32,47,2
5,7,48,63,48,63,2
5,8,64,79,32,47,2
5,9,64,79,48,63,2
5,10,80,95,32,47,2
5,11,80,95,48,63,2
5,12,96,111,32,47,2
5,13,96,111,48,63,2
5,14,112,127,32,47,2
5,15,112,127,48,63,2
6,0,0,15,0,15,3
6,1,0,15,16,31,3
6,2,16,31,0,15,3
6,3,16,31,16,31,3
6,4,32,47,0,15,3
6,5,32,47,16,31,3
6,6,48,63,0,15,3
6,7,48,63,16,31,3
6,8,64,79,0,15,3
6,9,64,79,16,31,3
6,10,80,95,0,15,3
6,11,80,95,16,31,3
6,12,96,111,0,15,3
6,13,96,111,16,31,3
6,14,112,127,0,15,3
6,15,112,127,16,31,3
7,0,0,15,32,47,3
7,1,0,15,48,63,3
7,2,16,31,32,47,3
7,3,16,31,48,63,3
7,4,32,47,32,47,3
7,5,32,47,48,63,3
7,6,48,63,32,47,3
7,7,48,63,48,63,3
7,8,64,79,32,47,3
7,9,64,79,48,63,3
7,10,80,95,32,47,3
7,11,80,95,48,63,3
7,12,96,111,32,47,3
7,13,96,111,48,63,3
7,14,112,127,32,47,3
7,15,112,127,48,63,3
