rank_channel_index,x,y,z,power,temperature
0,0,0,0,9.5947e-05,43.8026
0,1,0,0,4.68564e-05,43.8034
0,2,0,0,4.13514e-05,43.8047
0,3,0,0,7.07184e-05,43.8069
0,4,0,0,4.27404e-05,43.8078
0,5,0,0,7.16754e-05,43.8098
0,6,0,0,4.84104e-05,43.8108
0,7,0,0,7.50444e-05,43.8126
0,8,0,0,7.49064e-05,43.8135
0,9,0,0,4.27404e-05,43.8134
0,10,0,0,3.05574e-05,43.814
0,11,0,0,4.91304e-05,43.8157
0,12,0,0,4.80294e-05,43.8173
0,13,0,0,5.98524e-05,43.8191
0,14,0,0,5.71464e-05,43.8208
0,15,0,0,5.78664e-05,43.8227
0,16,0,0,0.000104848,43.8251
0,17,0,0,5.70024e-05,43.8243
0,18,0,0,4.21884e-05,43.8238
0,19,0,0,7.73244e-05,43.8244
0,20,0,0,6.65304e-05,43.824
0,21,0,0,4.12074e-05,43.8228
0,22,0,0,4.78854e-05,43.8224
0,23,0,0,5.83704e-05,43.8227
0,24,0,0,5.07354e-05,43.823
0,25,0,0,5.19294e-05,43.8237
0,26,0,0,5.72694e-05,43.8246
0,27,0,0,6.05934e-05,43.8256
0,28,0,0,5.26494e-05,43.8265
0,29,0,0,4.94904e-05,43.8277
0,30,0,0,5.94924e-05,43.8294
0,31,0,0,5.10384e-05,43.831
0,32,0,0,0.000102574,43.8331
0,33,0,0,5.97804e-05,43.8323
0,34,0,0,7.48134e-05,43.832
0,35,0,0,5.78664e-05,43.831
0,36,0,0,6.91134e-05,43.8306
0,37,0,0,5.09724e-05,43.8301
0,38,0,0,7.13874e-05,43.8302
0,39,0,0,6.51624e-05,43.8298
0,40,0,0,5.21244e-05,43.8293
0,41,0,0,8.03394e-05,43.8297
0,42,0,0,3.12054e-05,43.8289
0,43,0,0,7.00494e-05,43.8302
0,44,0,0,4.55394e-05,43.8308
0,45,0,0,8.37144e-05,43.8324
0,46,0,0,6.54504e-05,43.8326
0,47,0,0,4.19994e-05,43.8324
0,48,0,0,8.3332e-05,43.8335
0,49,0,0,7.90944e-05,43.833
0,50,0,0,5.11164e-05,43.8314
0,51,0,0,5.02974e-05,43.8307
0,52,0,0,6.74154e-05,43.8306
0,53,0,0,4.59714e-05,43.8297
0,54,0,0,5.69094e-05,43.8297
0,55,0,0,4.52304e-05,43.8295
0,56,0,0,7.21074e-05,43.8297
0,57,0,0,4.02504e-05,43.8287
0,58,0,0,5.78664e-05,43.8287
0,59,0,0,6.63144e-05,43.8286
0,60,0,0,3.31194e-05,43.8277
0,61,0,0,4.58274e-05,43.8279
0,62,0,0,3.52494e-05,43.8282
0,63,0,0,5.19294e-05,43.8297
0,64,0,0,0.000116722,43.8315
0,65,0,0,6.33714e-05,43.8295
0,66,0,0,6.55434e-05,43.8274
0,67,0,0,4.18554e-05,43.825
0,68,0,0,5.57364e-05,43.8241
0,69,0,0,9.98214e-05,43.8242
0,70,0,0,4.44384e-05,43.8222
0,71,0,0,6.27024e-05,43.8214
0,72,0,0,4.98714e-05,43.8203
0,73,0,0,6.94014e-05,43.8198
0,74,0,0,7.82814e-05,43.8189
0,75,0,0,4.52304e-05,43.8171
0,76,0,0,5.09454e-05,43.8161
0,77,0,0,6.02124e-05,43.8154
0,78,0,0,5.31024e-05,43.8144
0,79,0,0,4.93404e-05,43.8133
0,80,0,0,8.9866e-05,43.8123
0,81,0,0,2.95284e-05,43.8087
0,82,0,0,8.06274e-05,43.8073
0,83,0,0,5.01594e-05,43.8045
0,84,0,0,4.48704e-05,43.8025
0,85,0,0,5.07354e-05,43.8014
0,86,0,0,5.50884e-05,43.8007
0,87,0,0,7.74684e-05,43.8001
0,88,0,0,5.06124e-05,43.7985
0,89,0,0,6.49974e-05,43.7974
0,90,0,0,4.83174e-05,43.796
0,91,0,0,7.38054e-05,43.7955
0,92,0,0,4.82454e-05,43.794
0,93,0,0,6.03564e-05,43.7934
0,94,0,0,6.25314e-05,43.793
0,95,0,0,5.70534e-05,43.7927
0,96,0,0,8.8909e-05,43.7926
0,97,0,0,6.45654e-05,43.7901
0,98,0,0,3.64224e-05,43.7872
0,99,0,0,5.67654e-05,43.7857
0,100,0,0,5.24334e-05,43.7837
0,101,0,0,4.92024e-05,43.7818
0,102,0,0,2.54124e-05,43.7799
0,103,0,0,5.10444e-05,43.7794
0,104,0,0,5.91834e-05,43.7789
0,105,0,0,5.40804e-05,43.7779
0,106,0,0,6.98334e-05,43.7771
0,107,0,0,4.67844e-05,43.775
0,108,0,0,5.63124e-05,43.7733
0,109,0,0,5.49954e-05,43.7713
0,110,0,0,4.62804e-05,43.7695
0,111,0,0,7.40934e-05,43.7685
0,112,0,0,7.5553e-05,43.7667
0,113,0,0,4.76694e-05,43.7636
0,114,0,0,5.99964e-05,43.7612
0,115,0,0,5.97084e-05,43.7589
0,116,0,0,3.70914e-05,43.7566
0,117,0,0,6.51414e-05,43.7553
0,118,0,0,7.90944e-05,43.7534
0,119,0,0,5.00874e-05,43.7498
0,120,0,0,5.53764e-05,43.7467
0,121,0,0,5.00154e-05,43.7435
0,122,0,0,6.38244e-05,43.7406
0,123,0,0,3.80484e-05,43.7368
0,124,0,0,7.44024e-05,43.7341
0,125,0,0,3.72354e-05,43.7299
0,126,0,0,5.53764e-05,43.7264
0,127,0,0,3.96024e-05,43.7226
0,0,1,0,8.7211e-05,43.8025
0,1,1,0,7.06974e-05,43.8042
0,2,1,0,5.37714e-05,43.8053
0,3,1,0,8.46714e-05,43.8075
0,4,1,0,5.63124e-05,43.8083
0,5,1,0,5.66214e-05,43.8097
0,6,1,0,7.62234e-05,43.8113
0,7,1,0,6.18384e-05,43.8123
0,8,1,0,5.50674e-05,43.8132
0,9,1,0,6.91794e-05,43.8145
0,10,1,0,7.84974e-05,43.816
0,11,1,0,6.75594e-05,43.817
0,12,1,0,7.08624e-05,43.8184
0,13,1,0,6.49974e-05,43.8197
0,14,1,0,4.92024e-05,43.8209
0,15,1,0,5.58804e-05,43.823
0,16,1,0,0.000105517,43.8257
0,17,1,0,7.38054e-05,43.8253
0,18,1,0,7.43514e-05,43.8249
0,19,1,0,5.86074e-05,43.8245
0,20,1,0,8.34774e-05,43.8247
0,21,1,0,6.92574e-05,43.8238
0,22,1,0,4.86984e-05,43.8225
0,23,1,0,4.14234e-05,43.8222
0,24,1,0,5.30094e-05,43.8229
0,25,1,0,6.60984e-05,43.824
0,26,1,0,5.68374e-05,43.8245
0,27,1,0,5.84634e-05,43.8254
0,28,1,0,6.14574e-05,43.8266
0,29,1,0,5.85864e-05,43.8279
0,30,1,0,6.58614e-05,43.8298
0,31,1,0,6.74154e-05,43.8318
0,32,1,0,0.000109462,43.8337
0,33,1,0,4.53954e-05,43.8319
0,34,1,0,7.31364e-05,43.8314
0,35,1,0,5.37504e-05,43.8301
0,36,1,0,4.75254e-05,43.8295
0,37,1,0,7.47414e-05,43.8299
0,38,1,0,5.80104e-05,43.8294
0,39,1,0,5.87514e-05,43.8291
0,40,1,0,4.06104e-05,43.8284
0,41,1,0,5.09004e-05,43.8285
0,42,1,0,5.03754e-05,43.8287
0,43,1,0,5.75064e-05,43.8297
0,44,1,0,7.49784e-05,43.831
0,45,1,0,6.63144e-05,43.8319
0,46,1,0,7.37124e-05,43.8327
0,47,1,0,6.24864e-05,43.833
0,48,1,0,9.2953e-05,43.8339
0,49,1,0,6.40404e-05,43.8326
0,50,1,0,5.69814e-05,43.8314
0,51,1,0,5.97804e-05,43.8309
0,52,1,0,8.81184e-05,43.8312
0,53,1,0,5.90394e-05,43.8303
0,54,1,0,7.24164e-05,43.8307
0,55,1,0,0.000113153,43.8316
0,56,1,0,7.99584e-05,43.8307
0,57,1,0,6.56454e-05,43.8299
0,58,1,0,6.34434e-05,43.8296
0,59,1,0,5.58294e-05,43.8295
0,60,1,0,7.26324e-05,43.8297
0,61,1,0,6.06654e-05,43.8296
0,62,1,0,5.61174e-05,43.8299
0,63,1,0,8.39304e-05,43.8314
0,64,1,0,0.000101164,43.8323
0,65,1,0,9.18504e-05,43.8308
0,66,1,0,7.25844e-05,43.828
0,67,1,0,4.16394e-05,43.8248
0,68,1,0,3.74514e-05,43.8232
0,69,1,0,6.94944e-05,43.8233
0,70,1,0,7.56474e-05,43.8228
0,71,1,0,8.60604e-05,43.8223
0,72,1,0,7.30854e-05,43.8211
0,73,1,0,5.52324e-05,43.8197
0,74,1,0,6.85164e-05,43.8189
0,75,1,0,6.80844e-05,43.818
0,76,1,0,6.66024e-05,43.8172
0,77,1,0,6.89484e-05,43.8166
0,78,1,0,7.87854e-05,43.8163
0,79,1,0,8.55354e-05,43.8156
0,80,1,0,0.000106978,43.8139
0,81,1,0,2.40174e-05,43.809
0,82,1,0,5.92044e-05,43.8069
0,83,1,0,5.18364e-05,43.8044
0,84,1,0,3.15144e-05,43.8023
0,85,1,0,7.32804e-05,43.8022
0,86,1,0,7.63884e-05,43.8015
0,87,1,0,5.33184e-05,43.8
0,88,1,0,7.51224e-05,43.7991
0,89,1,0,6.63864e-05,43.7976
0,90,1,0,5.31024e-05,43.7961
0,91,1,0,7.70364e-05,43.7955
0,92,1,0,6.58824e-05,43.7942
0,93,1,0,5.59524e-05,43.793
0,94,1,0,4.90794e-05,43.7927
0,95,1,0,6.61704e-05,43.7934
0,96,1,0,0.000119974,43.794
0,97,1,0,6.04284e-05,43.7908
0,98,1,0,5.70744e-05,43.7883
0,99,1,0,8.18724e-05,43.787
0,100,1,0,7.93524e-05,43.7849
0,101,1,0,5.87514e-05,43.7828
0,102,1,0,9.97974e-05,43.7823
0,103,1,0,6.50484e-05,43.7807
0,104,1,0,9.89844e-05,43.7805
0,105,1,0,7.55274e-05,43.7794
0,106,1,0,0.00010346,43.779
0,107,1,0,7.89504e-05,43.7768
0,108,1,0,7.30644e-05,43.7747
0,109,1,0,5.52114e-05,43.7721
0,110,1,0,5.41824e-05,43.77
0,111,1,0,4.92744e-05,43.7683
0,112,1,0,9.214e-05,43.7672
0,113,1,0,5.91834e-05,43.7639
0,114,1,0,4.66404e-05,43.761
0,115,1,0,4.82454e-05,43.7589
0,116,1,0,7.55034e-05,43.7578
0,117,1,0,8.24694e-05,43.7564
0,118,1,0,9.37884e-05,43.7544
0,119,1,0,6.19104e-05,43.7507
0,120,1,0,6.62424e-05,43.7476
0,121,1,0,7.24164e-05,43.7447
0,122,1,0,7.62444e-05,43.7417
0,123,1,0,5.30304e-05,43.7378
0,124,1,0,7.05024e-05,43.7346
0,125,1,0,7.74684e-05,43.7307
0,126,1,0,4.19994e-05,43.7259
0,127,1,0,5.94924e-05,43.7222
0,0,2,0,9.4435e-05,43.7981
0,1,2,0,5.29374e-05,43.7991
0,2,2,0,4.97994e-05,43.8001
0,3,2,0,4.32654e-05,43.8015
0,4,2,0,6.83244e-05,43.8034
0,5,2,0,6.87324e-05,43.8047
0,6,2,0,5.22174e-05,43.8056
0,7,2,0,7.19844e-05,43.8071
0,8,2,0,6.06654e-05,43.808
0,9,2,0,4.46544e-05,43.8089
0,10,2,0,8.33334e-05,43.8108
0,11,2,0,4.49424e-05,43.8114
0,12,2,0,6.32274e-05,43.8132
