rank_channel_index,x,y,z,power,temperature
0,0,0,0,0.0311347,45.8451
0,1,0,0,0.000164889,44.2709
0,2,0,0,0.000119488,43.4214
0,3,0,0,0.000179442,42.8517
0,4,0,0,0.000135013,42.4236
0,5,0,0,0.000151747,42.0916
0,6,0,0,0.000141115,41.8275
0,7,0,0,0.000241603,41.6161
0,8,0,0,0.000193387,41.436
0,9,0,0,0.000119488,41.2842
0,10,0,0,0.000157174,41.1629
0,11,0,0,0.000168682,41.0618
0,12,0,0,0.000195365,40.9753
0,13,0,0,0.000124321,40.8981
0,14,0,0,0.000147427,40.8368
0,15,0,0,0.00017662,40.7856
0,16,0,0,0.00017608,40.7396
0,17,0,0,0.000149998,40.6981
0,18,0,0,0.000182419,40.6643
0,19,0,0,0.000128614,40.6311
0,20,0,0,0.000222028,40.6071
0,21,0,0,0.000167029,40.5807
0,22,0,0,0.000162304,40.5595
0,23,0,0,0.000178564,40.5429
0,24,0,0,0.000203506,40.5289
0,25,0,0,0.000160528,40.5134
0,26,0,0,0.000160528,40.5004
0,27,0,0,0.000161804,40.4891
0,28,0,0,0.000173947,40.4805
0,29,0,0,0.00016177,40.4743
0,30,0,0,0.000197741,40.4707
0,31,0,0,0.000137194,40.4648
0,32,0,0,0.000145097,40.4608
0,33,0,0,0.000205321,40.4573
0,34,0,0,0.000155162,40.4507
0,35,0,0,0.000188352,40.4449
0,36,0,0,0.000149404,40.4348
0,37,0,0,0.000107797,40.4258
0,38,0,0,0.000235575,40.4246
0,39,0,0,0.000167737,40.4181
0,40,0,0,8.26808e-05,40.4117
0,41,0,0,0.000219672,40.4141
0,42,0,0,0.000105138,40.4103
0,43,0,0,0.000160063,40.4116
0,44,0,0,9.77332e-05,40.4102
0,45,0,0,0.000115735,40.4119
0,46,0,0,0.000192908,40.4155
0,47,0,0,0.000130086,40.4128
0,48,0,0,0.000175345,40.4136
0,49,0,0,0.000215055,40.4141
0,50,0,0,0.000203944,40.4111
0,51,0,0,0.000178362,40.4059
0,52,0,0,0.000109701,40.4007
0,53,0,0,0.000186043,40.4014
0,54,0,0,0.000198754,40.4014
0,55,0,0,0.00019764,40.4004
0,56,0,0,0.000200731,40.3981
0,57,0,0,0.000159455,40.3947
0,58,0,0,0.00016254,40.3919
0,59,0,0,0.000171592,40.3892
0,60,0,0,0.000202574,40.3846
0,61,0,0,0.000156006,40.3734
0,62,0,0,0.000134116,40.3621
0,63,0,0,8.9856e-05,40.3495
0,0,1,0,0.000167872,44.253
0,1,1,0,0.000117112,43.6639
0,2,1,0,0.000155405,43.1079
0,3,1,0,0.000180043,42.6555
0,4,1,0,0.000164119,42.2897
0,5,1,0,0.000141885,41.9938
0,6,1,0,0.000197775,41.7548
0,7,1,0,0.000180738,41.5559
0,8,1,0,0.000181514,41.388
0,9,1,0,0.000114966,41.2448
0,10,1,0,0.000165361,41.1302
0,11,1,0,0.000225774,41.0349
0,12,1,0,0.000192179,40.95
0,13,1,0,0.000129816,40.8755
0,14,1,0,0.000183708,40.8174
0,15,1,0,0.000215149,40.7679
0,16,1,0,0.000216189,40.7229
0,17,1,0,0.000145273,40.6813
0,18,1,0,0.000266713,40.6502
0,19,1,0,0.000144342,40.6152
0,20,1,0,0.000201609,40.5896
0,21,1,0,0.000126097,40.5628
0,22,1,0,0.000138638,40.5421
0,23,1,0,0.000141952,40.5256
0,24,1,0,0.000183391,40.5128
0,25,1,0,0.000176256,40.4989
0,26,1,0,0.000181784,40.4863
0,27,1,0,0.000139138,40.4732
0,28,1,0,9.06592e-05,40.4628
0,29,1,0,0.000152415,40.459
0,30,1,0,0.000155135,40.4558
0,31,1,0,0.000217431,40.4547
0,32,1,0,0.000244977,40.4516
0,33,1,0,0.000127703,40.4427
0,34,1,0,0.000222217,40.4399
0,35,1,0,0.000235771,40.434
0,36,1,0,0.000171693,40.4227
0,37,1,0,9.9441e-05,40.4112
0,38,1,0,9.18e-05,40.4058
0,39,1,0,0.000142526,40.4032
0,40,1,0,0.000127474,40.3995
0,41,1,0,0.000107973,40.3983
0,42,1,0,0.000165827,40.3997
0,43,1,0,0.000181649,40.4016
0,44,1,0,0.000207704,40.4031
0,45,1,0,0.000202574,40.4042
0,46,1,0,0.000243074,40.4057
0,47,1,0,0.000162547,40.4011
0,48,1,0,0.000159448,40.3993
0,49,1,0,0.000168615,40.398
0,50,1,0,0.000155506,40.3945
0,51,1,0,0.000123586,40.3898
0,52,1,0,0.000168851,40.3878
0,53,1,0,0.000120595,40.3847
0,54,1,0,0.000123552,40.3835
0,55,1,0,0.000159894,40.3834
0,56,1,0,0.000103498,40.3804
0,57,1,0,0.000186914,40.3813
0,58,1,0,0.000154764,40.3787
0,59,1,0,0.000206037,40.3779
0,60,1,0,0.000245356,40.3739
0,61,1,0,0.000109768,40.361
0,62,1,0,0.000166765,40.3531
0,63,1,0,0.000153326,40.3423
0,0,2,0,2.68507e-05,43.3736
0,1,2,0,3.1185e-06,43.0739
0,2,2,0,1.53563e-05,42.721
0,3,2,0,1.52213e-05,42.3884
0,4,2,0,1.0125e-05,42.0963
0,5,2,0,2.34022e-05,41.8476
0,6,2,0,2.0115e-06,41.6366
0,7,2,0,2.40233e-05,41.4588
0,8,2,0,7.04025e-06,41.3062
0,9,2,0,1.0395e-06,41.1763
0,10,2,0,3.08475e-06,41.0678
0,11,2,0,2.0115e-06,40.9759
0,12,2,0,8.1135e-06,40.8967
0,13,2,0,6.0345e-06,40.8283
0,14,2,0,2.64533e-05,40.7717
0,15,2,0,1.539e-05,40.722
0,16,2,0,6.0345e-06,40.6782
0,17,2,0,2.9538e-05,40.6404
0,18,2,0,6.0345e-06,40.6065
0,19,2,0,2.0115e-06,40.5756
0,20,2,0,2.04525e-06,40.5496
0,21,2,0,2.33685e-05,40.5267
0,22,2,0,0,40.5061
0,23,2,0,1.2069e-05,40.4898
0,24,2,0,1.83735e-05,40.4759
0,25,2,0,5.1975e-06,40.4624
0,26,2,0,1.23053e-05,40.4506
0,27,2,0,0,40.4394
0,28,2,0,1.32773e-05,40.4311
0,29,2,0,1.11645e-05,40.4254
0,30,2,0,2.0115e-06,40.4209
0,31,2,0,1.42493e-05,40.4184
0,32,2,0,3.88184e-05,40.4154
0,33,2,0,1.64633e-05,40.4086
0,34,2,0,4.023e-06,40.4028
0,35,2,0,2.32673e-05,40.3973
0,36,2,0,2.14245e-05,40.3895
0,37,2,0,5.1975e-06,40.3811
0,38,2,0,2.079e-06,40.3756
0,39,2,0,7.04025e-06,40.3724
0,40,2,0,2.64195e-05,40.3705
0,41,2,0,1.9467e-05,40.3688
0,42,2,0,5.02875e-06,40.3681
0,43,2,0,1.6092e-05,40.3688
0,44,2,0,9.2205e-06,40.3691
0,45,2,0,2.02163e-05,40.3696
0,46,2,0,1.00575e-05,40.369
0,47,2,0,9.11925e-06,40.3668
0,48,2,0,1.30748e-05,40.3651
0,49,2,0,1.1232e-05,40.3631
0,50,2,0,4.023e-06,40.3601
0,51,2,0,7.04025e-06,40.3572
0,52,2,0,9.05175e-06,40.3549
0,53,2,0,2.079e-06,40.3524
0,54,2,0,4.12425e-06,40.3508
0,55,2,0,0,40.3495
0,56,2,0,5.02875e-06,40.348
0,57,2,0,1.14345e-05,40.3471
0,58,2,0,0,40.3447
0,59,2,0,6.20325e-06,40.3424
0,60,2,0,0,40.3381
0,61,2,0,8.1135e-06,40.3315
0,62,2,0,1.72328e-05,40.3254
0,63,2,0,7.10775e-06,40.3182
0,0,3,0,1.95742e-05,42.7745
0,1,3,0,0,42.5911
0,2,3,0,0,42.3581
0,3,3,0,0,42.1176
0,4,3,0,0,41.8914
0,5,3,0,0,41.6882
0,6,3,0,0,41.5096
0,7,3,0,0,41.3543
0,8,3,0,0,41.2195
0,9,3,0,0,41.1031
0,10,3,0,0,41.0035
0,11,3,0,0,40.9179
0,12,3,0,0,40.8441
0,13,3,0,0,40.7803
0,14,3,0,0,40.7257
0,15,3,0,0,40.6781
0,16,3,0,0,40.6365
0,17,3,0,0,40.6001
0,18,3,0,0,40.5678
0,19,3,0,0,40.5392
0,20,3,0,0,40.5142
0,21,3,0,0,40.4924
0,22,3,0,0,40.4732
0,23,3,0,0,40.457
0,24,3,0,0,40.4429
0,25,3,0,0,40.4302
0,26,3,0,0,40.419
0,27,3,0,0,40.4092
0,28,3,0,0,40.4013
0,29,3,0,0,40.3951
0,30,3,0,0,40.3903
0,31,3,0,0,40.3866
0,32,3,0,1.95742e-05,40.3833
0,33,3,0,0,40.3771
0,34,3,0,0,40.3712
0,35,3,0,0,40.3655
0,36,3,0,0,40.3593
0,37,3,0,0,40.3532
0,38,3,0,0,40.3485
0,39,3,0,0,40.3451
0,40,3,0,0,40.3427
0,41,3,0,0,40.3409
0,42,3,0,0,40.3399
0,43,3,0,0,40.3395
0,44,3,0,0,40.3391
0,45,3,0,0,40.3388
0,46,3,0,0,40.3379
0,47,3,0,0,40.3364
0,48,3,0,0,40.3348
0,49,3,0,0,40.3329
0,50,3,0,0,40.3307
0,51,3,0,0,40.3285
0,52,3,0,0,40.3264
0,53,3,0,0,40.3244
0,54,3,0,0,40.3227
0,55,3,0,0,40.3212
0,56,3,0,0,40.3196
0,57,3,0,0,40.3181
