Config,Max_Temperature
DDR3_1Gb_x8_1333,46.6495
DDR3_4Gb_x16_1600,56.1894
DDR3_4Gb_x16_1866,57.0299
DDR3_4Gb_x4_1600,52.9393
DDR3_4Gb_x4_1866,54.0363
DDR3_4Gb_x8_1600,53.0013
DDR3_4Gb_x8_1866,54.1137
DDR3_8Gb_x16_1600,55.0083
DDR3_8Gb_x16_1866,55.598
DDR3_8Gb_x4_1600,54.835
DDR3_8Gb_x4_1866,55.4382
DDR3_8Gb_x8_1600,54.8262
DDR3_8Gb_x8_1866,55.4251
DDR4_4Gb_x16_1866,56.4546
DDR4_4Gb_x16_2133,56.5031
DDR4_4Gb_x16_2133_2,56.509
DDR4_4Gb_x16_2400,57.8592
DDR4_4Gb_x16_2400_2,57.8689
DDR4_4Gb_x16_2666,59.3139
DDR4_4Gb_x16_2666_2,59.3157
DDR4_4Gb_x4_1866,56.292
DDR4_4Gb_x4_2133,56.3153
DDR4_4Gb_x4_2133_2,56.3156
DDR4_4Gb_x4_2400,57.7949
DDR4_4Gb_x4_2400_2,57.7889
DDR4_4Gb_x4_2666,59.3065
DDR4_4Gb_x4_2666_2,59.3006
DDR4_4Gb_x8_1866,56.042
DDR4_4Gb_x8_2133,56.0837
DDR4_4Gb_x8_2133_2,56.0804
DDR4_4Gb_x8_2400,57.5419
DDR4_4Gb_x8_2400_2,57.5577
DDR4_4Gb_x8_2666,59.0286
DDR4_4Gb_x8_2666_2,59.0277
DDR4_8Gb_x16_1866,52.065
DDR4_8Gb_x16_2133,52.0823
DDR4_8Gb_x16_2133_2,52.0859
DDR4_8Gb_x16_2400,52.8882
DDR4_8Gb_x16_2400_2,52.8936
DDR4_8Gb_x16_2666,53.7166
DDR4_8Gb_x16_2666_2,53.728
DDR4_8Gb_x16_2933,54.5442
DDR4_8Gb_x16_2933_2,54.5559
DDR4_8Gb_x16_3200,55.3847
DDR4_8Gb_x4_1866,49.4383
DDR4_8Gb_x4_2133,49.441
DDR4_8Gb_x4_2133_2,49.4376
DDR4_8Gb_x4_2400,50.2193
DDR4_8Gb_x4_2400_2,50.2172
DDR4_8Gb_x4_2666,51.0092
DDR4_8Gb_x4_2666_2,51.0069
DDR4_8Gb_x4_2933,51.7923
DDR4_8Gb_x4_2933_2,51.7867
DDR4_8Gb_x4_3200,52.5438
DDR4_8Gb_x8_1866,50.2776
DDR4_8Gb_x8_2133,50.2862
DDR4_8Gb_x8_2133_2,50.286
DDR4_8Gb_x8_2400,51.985
DDR4_8Gb_x8_2400_2,51.0401
DDR4_8Gb_x8_2666,51.8064
DDR4_8Gb_x8_2666_2,51.8061
DDR4_8Gb_x8_2933,52.5665
DDR4_8Gb_x8_2933_2,52.5692
DDR4_8Gb_x8_3200,53.3167
GDDR5X_8Gb_x32,195.21
GDDR5_1Gb_x32,166.124
GDDR5_8Gb_x32,54.6579
GDDR6_8Gb_x16,57.7965
LPDDR3_8Gb_x32_1333,46.4175
LPDDR3_8Gb_x32_1600,46.5453
LPDDR3_8Gb_x32_1866,46.7909
LPDDR4_8Gb_x16_2400,52.6703
ddr3_debug,45.8451
ddr4_debug,51.2536
lpddr_2Gb_x16,50.2247
