rank_channel_index,x,y,z,power,temperature
0,0,0,0,0.00675562,44.5613
0,1,0,0,0.00656387,44.4371
0,2,0,0,5.57814e-06,43.9334
0,3,0,0,5.57814e-06,43.6392
0,4,0,0,5.57814e-06,43.4309
0,5,0,0,5.57814e-06,43.2702
0,6,0,0,5.57814e-06,43.1408
0,7,0,0,5.57814e-06,43.0338
0,8,0,0,5.57814e-06,42.9435
0,9,0,0,5.57814e-06,42.8659
0,10,0,0,5.57814e-06,42.7984
0,11,0,0,5.57814e-06,42.7388
0,12,0,0,5.57814e-06,42.6856
0,13,0,0,5.57814e-06,42.6376
0,14,0,0,5.57814e-06,42.5939
0,15,0,0,5.57814e-06,42.5539
0,16,0,0,5.57814e-06,42.5169
0,17,0,0,5.57814e-06,42.4825
0,18,0,0,5.57814e-06,42.4504
0,19,0,0,5.57814e-06,42.4203
0,20,0,0,5.57814e-06,42.3919
0,21,0,0,5.57814e-06,42.3651
0,22,0,0,5.57814e-06,42.3396
0,23,0,0,5.57814e-06,42.3153
0,24,0,0,5.57814e-06,42.2922
0,25,0,0,5.57814e-06,42.27
0,26,0,0,5.57814e-06,42.2488
0,27,0,0,5.57814e-06,42.2285
0,28,0,0,5.57814e-06,42.2089
0,29,0,0,5.57814e-06,42.19
0,30,0,0,5.57814e-06,42.1718
0,31,0,0,5.57814e-06,42.1542
0,32,0,0,5.57814e-06,42.1373
0,33,0,0,5.57814e-06,42.1208
0,34,0,0,5.57814e-06,42.1049
0,35,0,0,5.57814e-06,42.0895
0,36,0,0,5.57814e-06,42.0746
0,37,0,0,5.57814e-06,42.0601
0,38,0,0,5.57814e-06,42.046
0,39,0,0,5.57814e-06,42.0324
0,40,0,0,5.57814e-06,42.0191
0,41,0,0,5.57814e-06,42.0062
0,42,0,0,5.57814e-06,41.9936
0,43,0,0,5.57814e-06,41.9814
0,44,0,0,5.57814e-06,41.9695
0,45,0,0,5.57814e-06,41.958
0,46,0,0,5.57814e-06,41.9467
0,47,0,0,5.57814e-06,41.9357
0,48,0,0,5.57814e-06,41.925
