rank_channel_index,x,y,z,power,temperature
0,0,0,0,0.10055,57.734
0,1,0,0,0,54.4239
0,2,0,0,0,52.4116
0,3,0,0,0,50.9635
0,4,0,0,0,49.8167
0,5,0,0,0,48.8627
0,6,0,0,0,48.0479
0,7,0,0,0,47.3413
0,8,0,0,0,46.7218
0,9,0,0,0,46.1744
0,10,0,0,0,45.6875
0,11,0,0,0,45.2518
0,12,0,0,0,44.8601
0,13,0,0,0,44.5064
0,14,0,0,0,44.1858
0,15,0,0,0,43.8941
0,16,0,0,0,43.6279
0,17,0,0,0,43.3843
0,18,0,0,0,43.1608
0,19,0,0,0,42.9553
0,20,0,0,0,42.766
0,21,0,0,0,42.5911
0,22,0,0,0,42.4294
0,23,0,0,0,42.2796
0,24,0,0,0,42.1406
0,25,0,0,0,42.0115
0,26,0,0,0,41.8914
0,27,0,0,0,41.7795
0,28,0,0,0,41.6752
0,29,0,0,0,41.5779
0,30,0,0,0,41.487
0,31,0,0,0,41.402
0,32,0,0,8.87836e-06,41.3226
0,33,0,0,0,41.2476
0,34,0,0,0,41.1773
0,35,0,0,0,41.1114
0,36,0,0,0,41.0496
0,37,0,0,0,40.9915
0,38,0,0,0,40.9369
0,39,0,0,0,40.8857
0,40,0,0,0,40.8374
0,41,0,0,0,40.792
0,42,0,0,0,40.7493
0,43,0,0,0,40.7091
0,44,0,0,0,40.6712
0,45,0,0,0,40.6355
0,46,0,0,0,40.6019
0,47,0,0,0,40.5702
0,48,0,0,0,40.5402
0,49,0,0,0,40.512
0,50,0,0,0,40.4854
0,51,0,0,0,40.4603
0,52,0,0,0,40.4366
0,53,0,0,0,40.4142
0,54,0,0,0,40.3931
0,55,0,0,0,40.3731
0,56,0,0,0,40.3543
0,57,0,0,0,40.3365
0,58,0,0,0,40.3197
0,59,0,0,0,40.3038
0,60,0,0,0,40.2888
0,61,0,0,0,40.2747
0,62,0,0,0,40.2613
0,63,0,0,0,40.2486
0,64,0,0,8.87836e-06,40.2367
0,65,0,0,0,40.2249
0,66,0,0,0,40.2137
0,67,0,0,0,40.2031
0,68,0,0,0,40.1931
0,69,0,0,0,40.1836
0,70,0,0,0,40.1746
0,71,0,0,0,40.1661
0,72,0,0,0,40.158
0,73,0,0,0,40.1504
0,74,0,0,0,40.1431
0,75,0,0,0,40.1363
0,76,0,0,0,40.1298
0,77,0,0,0,40.1237
0,78,0,0,0,40.1179
0,79,0,0,0,40.1124
0,80,0,0,0,40.1072
0,81,0,0,0,40.1023
0,82,0,0,0,40.0976
0,83,0,0,0,40.0932
0,84,0,0,0,40.0891
0,85,0,0,0,40.0852
0,86,0,0,0,40.0815
0,87,0,0,0,40.078
0,88,0,0,0,40.0747
0,89,0,0,0,40.0716
0,90,0,0,0,40.0687
0,91,0,0,0,40.066
0,92,0,0,0,40.0634
0,93,0,0,0,40.061
0,94,0,0,0,40.0587
0,95,0,0,0,40.0566
0,96,0,0,8.87836e-06,40.0546
0,97,0,0,0,40.0522
0,98,0,0,0,40.0499
0,99,0,0,0,40.0478
0,100,0,0,0,40.0457
0,101,0,0,0,40.0438
0,102,0,0,0,40.042
0,103,0,0,0,40.0403
0,104,0,0,0,40.0387
0,105,0,0,0,40.0371
0,106,0,0,0,40.0357
0,107,0,0,0,40.0343
0,108,0,0,0,40.0331
0,109,0,0,0,40.0319
0,110,0,0,0,40.0308
0,111,0,0,0,40.0297
0,112,0,0,0,40.0287
0,113,0,0,0,40.0278
0,114,0,0,0,40.027
0,115,0,0,0,40.0262
0,116,0,0,0,40.0255
0,117,0,0,0,40.0249
0,118,0,0,0,40.0243
0,119,0,0,0,40.0238
0,120,0,0,0,40.0233
0,121,0,0,0,40.0229
0,122,0,0,0,40.0225
0,123,0,0,0,40.0222
0,124,0,0,0,40.022
0,125,0,0,0,40.0218
0,126,0,0,0,40.0216
0,127,0,0,0,40.0215
0,0,1,0,8.87836e-06,53.433
0,1,1,0,0,52.3681
0,2,1,0,0,51.2148
0,3,1,0,0,50.1624
0,4,1,0,0,49.2351
0,5,1,0,0,48.4209
0,6,1,0,0,47.7031
0,7,1,0,0,47.067
0,8,1,0,0,46.5004
0,9,1,0,0,45.9933
0,10,1,0,0,45.5378
0,11,1,0,0,45.1268
0,12,1,0,0,44.7548
0,13,1,0,0,44.417
0,14,1,0,0,44.1092
0,15,1,0,0,43.8282
0,16,1,0,0,43.5708
0,17,1,0,0,43.3346
0,18,1,0,0,43.1173
0,19,1,0,0,42.9171
0,20,1,0,0,42.7322
0,21,1,0,0,42.5612
0,22,1,0,0,42.4028
0,23,1,0,0,42.2559
0,24,1,0,0,42.1194
0,25,1,0,0,41.9924
0,26,1,0,0,41.8742
0,27,1,0,0,41.7641
0,28,1,0,0,41.6613
0,29,1,0,0,41.5653
0,30,1,0,0,41.4757
0,31,1,0,0,41.3918
0,32,1,0,8.87836e-06,41.3133
0,33,1,0,0,41.2391
0,34,1,0,0,41.1696
0,35,1,0,0,41.1043
0,36,1,0,0,41.043
0,37,1,0,0,40.9855
0,38,1,0,0,40.9314
0,39,1,0,0,40.8806
0,40,1,0,0,40.8328
0,41,1,0,0,40.7877
0,42,1,0,0,40.7454
0,43,1,0,0,40.7055
0,44,1,0,0,40.6679
0,45,1,0,0,40.6324
0,46,1,0,0,40.599
0,47,1,0,0,40.5675
0,48,1,0,0,40.5378
0,49,1,0,0,40.5098
0,50,1,0,0,40.4833
0,51,1,0,0,40.4584
0,52,1,0,0,40.4348
0,53,1,0,0,40.4125
0,54,1,0,0,40.3915
0,55,1,0,0,40.3717
0,56,1,0,0,40.353
0,57,1,0,0,40.3353
0,58,1,0,0,40.3186
0,59,1,0,0,40.3028
0,60,1,0,0,40.2879
0,61,1,0,0,40.2738
0,62,1,0,0,40.2605
0,63,1,0,0,40.248
0,64,1,0,8.87836e-06,40.2362
0,65,1,0,0,40.2243
0,66,1,0,0,40.2131
0,67,1,0,0,40.2026
0,68,1,0,0,40.1925
0,69,1,0,0,40.1831
0,70,1,0,0,40.1741
0,71,1,0,0,40.1656
0,72,1,0,0,40.1576
0,73,1,0,0,40.15
0,74,1,0,0,40.1427
0,75,1,0,0,40.1359
0,76,1,0,0,40.1295
0,77,1,0,0,40.1234
0,78,1,0,0,40.1176
0,79,1,0,0,40.1121
0,80,1,0,0,40.1069
0,81,1,0,0,40.102
0,82,1,0,0,40.0974
0,83,1,0,0,40.093
0,84,1,0,0,40.0889
0,85,1,0,0,40.085
0,86,1,0,0,40.0813
