rank_channel_index,x,y,z,power,temperature
0,0,0,0,0.0783585,59.0686
0,1,0,0,0,54.8931
0,2,0,0,0,52.5255
0,3,0,0,0,50.8394
0,4,0,0,0,49.5153
0,5,0,0,0,48.4305
0,6,0,0,0,47.5214
0,7,0,0,0,46.7479
0,8,0,0,0,46.0822
0,9,0,0,0,45.5038
0,10,0,0,0,44.9973
0,11,0,0,0,44.5507
0,12,0,0,0,44.1546
0,13,0,0,0,43.8015
0,14,0,0,0,43.4854
0,15,0,0,0,43.2012
0,16,0,0,0,42.9449
0,17,0,0,0,42.713
0,18,0,0,0,42.5026
0,19,0,0,0,42.3113
0,20,0,0,0,42.1368
0,21,0,0,0,41.9774
0,22,0,0,0,41.8316
0,23,0,0,0,41.6979
0,24,0,0,0,41.5752
0,25,0,0,0,41.4624
0,26,0,0,0,41.3585
0,27,0,0,0,41.2628
0,28,0,0,0,41.1744
0,29,0,0,0,41.0929
0,30,0,0,0,41.0175
0,31,0,0,0,40.9477
0,32,0,0,0,40.8831
0,33,0,0,0,40.8232
0,34,0,0,0,40.7677
0,35,0,0,0,40.7162
0,36,0,0,0,40.6683
0,37,0,0,0,40.6239
0,38,0,0,0,40.5826
0,39,0,0,0,40.5442
0,40,0,0,0,40.5084
0,41,0,0,0,40.4751
0,42,0,0,0,40.4442
0,43,0,0,0,40.4153
0,44,0,0,0,40.3884
0,45,0,0,0,40.3633
0,46,0,0,0,40.3399
0,47,0,0,0,40.3181
0,48,0,0,0,40.2977
0,49,0,0,0,40.2787
0,50,0,0,0,40.261
0,51,0,0,0,40.2444
0,52,0,0,0,40.2289
0,53,0,0,0,40.2144
0,54,0,0,0,40.2009
0,55,0,0,0,40.1882
0,56,0,0,0,40.1764
0,57,0,0,0,40.1653
0,58,0,0,0,40.155
0,59,0,0,0,40.1453
0,60,0,0,0,40.1362
0,61,0,0,0,40.1278
0,62,0,0,0,40.1198
0,63,0,0,0,40.1124
0,64,0,0,0,40.1054
0,65,0,0,0,40.0989
0,66,0,0,0,40.0928
0,67,0,0,0,40.0871
0,68,0,0,0,40.0817
0,69,0,0,0,40.0767
0,70,0,0,0,40.072
0,71,0,0,0,40.0676
0,72,0,0,0,40.0635
0,73,0,0,0,40.0596
0,74,0,0,0,40.056
0,75,0,0,0,40.0526
0,76,0,0,0,40.0494
0,77,0,0,0,40.0464
0,78,0,0,0,40.0436
0,79,0,0,0,40.0409
0,80,0,0,0,40.0384
0,81,0,0,0,40.0361
0,82,0,0,0,40.034
0,83,0,0,0,40.0319
0,84,0,0,0,40.03
0,85,0,0,0,40.0282
0,86,0,0,0,40.0265
0,87,0,0,0,40.0249
0,88,0,0,0,40.0235
