rank_channel_index,x,y,z,power,temperature
0,0,0,0,0.794637,180.652
0,1,0,0,0,140.056
0,2,0,0,0,118.119
0,3,0,0,0,103.295
0,4,0,0,0,92.217
0,5,0,0,0,83.5644
0,6,0,0,0,76.6455
0,7,0,0,0,71.0267
0,8,0,0,0,66.4101
0,9,0,0,0,62.581
0,10,0,0,0,59.38
0,11,0,0,0,56.6865
0,12,0,0,0,54.4072
0,13,0,0,0,52.4692
0,14,0,0,0,50.8145
0,15,0,0,0,49.3968
0,16,0,0,0,48.1782
0,17,0,0,0,47.128
0,18,0,0,0,46.2207
0,19,0,0,0,45.4353
0,20,0,0,0,44.7541
0,21,0,0,0,44.1622
0,22,0,0,0,43.6473
0,23,0,0,0,43.1986
0,24,0,0,0,42.8072
0,25,0,0,0,42.4654
0,26,0,0,0,42.1665
0,27,0,0,0,41.9051
0,28,0,0,0,41.6761
0,29,0,0,0,41.4754
0,30,0,0,0,41.2994
0,31,0,0,0,41.1449
0,32,0,0,0,41.0092
0,33,0,0,0,40.89
0,34,0,0,0,40.7851
0,35,0,0,0,40.6929
0,36,0,0,0,40.6118
0,37,0,0,0,40.5404
0,38,0,0,0,40.4775
0,39,0,0,0,40.422
0,40,0,0,0,40.3732
0,41,0,0,0,40.3302
0,42,0,0,0,40.2922
0,43,0,0,0,40.2588
0,44,0,0,0,40.2293
0,45,0,0,0,40.2033
0,46,0,0,0,40.1803
0,47,0,0,0,40.1602
0,48,0,0,0,40.1424
0,49,0,0,0,40.1267
0,50,0,0,0,40.113
0,51,0,0,0,40.1009
0,52,0,0,0,40.0903
0,53,0,0,0,40.0811
0,54,0,0,0,40.073
0,55,0,0,0,40.066
0,56,0,0,0,40.06
0,57,0,0,0,40.0549
0,58,0,0,0,40.0506
0,59,0,0,0,40.0469
0,60,0,0,0,40.044
0,61,0,0,0,40.0417
0,62,0,0,0,40.04
0,63,0,0,0,40.0389
0,0,1,0,0,140.056
0,1,1,0,0,124.787
0,2,1,0,0,110.332
0,3,1,0,0,98.5453
0,4,1,0,0,89.061
0,5,1,0,0,81.3709
0,6,1,0,0,75.0753
0,7,1,0,0,69.8768
0,8,1,0,0,65.5516
0,9,1,0,0,61.9295
0,10,1,0,0,58.8786
0,11,1,0,0,56.2958
0,12,1,0,0,54.0995
0,13,1,0,0,52.2246
0,14,1,0,0,50.6185
0,15,1,0,0,49.2386
0,16,1,0,0,48.0497
0,17,1,0,0,47.023
