Config,Max_Temperature
DDR3_1Gb_x8_1333,50.9096
DDR3_4Gb_x16_1600,73.0278
DDR3_4Gb_x16_1866,72.9828
DDR3_4Gb_x4_1600,64.6154
DDR3_4Gb_x4_1866,65.6312
DDR3_4Gb_x8_1600,65.248
DDR3_4Gb_x8_1866,66.1346
DDR3_8Gb_x16_1600,65.7762
DDR3_8Gb_x16_1866,64.8527
DDR3_8Gb_x4_1600,62.5205
DDR3_8Gb_x4_1866,62.2572
DDR3_8Gb_x8_1600,62.5205
DDR3_8Gb_x8_1866,62.2572
DDR4_4Gb_x16_1866,63.944
DDR4_4Gb_x16_2133,64.479
DDR4_4Gb_x16_2133_2,64.6874
DDR4_4Gb_x16_2400,64.0072
DDR4_4Gb_x16_2400_2,64.3713
DDR4_4Gb_x16_2666,67.6184
DDR4_4Gb_x16_2666_2,67.5936
DDR4_4Gb_x4_1866,59.0686
DDR4_4Gb_x4_2133,59.3254
DDR4_4Gb_x4_2133_2,59.4256
DDR4_4Gb_x4_2400,60.5647
DDR4_4Gb_x4_2400_2,60.7486
DDR4_4Gb_x4_2666,63.8517
DDR4_4Gb_x4_2666_2,63.8479
DDR4_4Gb_x8_1866,58.9824
DDR4_4Gb_x8_2133,59.2234
DDR4_4Gb_x8_2133_2,59.3235
DDR4_4Gb_x8_2400,60.4598
DDR4_4Gb_x8_2400_2,60.6437
DDR4_4Gb_x8_2666,63.7502
DDR4_4Gb_x8_2666_2,63.7464
DDR4_8Gb_x16_1866,64.5767
DDR4_8Gb_x16_2133,64.6999
DDR4_8Gb_x16_2133_2,64.9911
DDR4_8Gb_x16_2400,65.3134
DDR4_8Gb_x16_2400_2,65.9562
DDR4_8Gb_x16_2666,68.5097
DDR4_8Gb_x16_2666_2,68.4137
DDR4_8Gb_x16_2933,68.0176
DDR4_8Gb_x16_2933_2,67.9119
DDR4_8Gb_x16_3200,69.8746
DDR4_8Gb_x4_1866,52.6711
DDR4_8Gb_x4_2133,52.5986
DDR4_8Gb_x4_2133_2,52.6861
DDR4_8Gb_x4_2400,53.2574
DDR4_8Gb_x4_2400_2,53.418
DDR4_8Gb_x4_2666,54.8744
DDR4_8Gb_x4_2666_2,54.8661
DDR4_8Gb_x4_2933,54.8418
DDR4_8Gb_x4_2933_2,54.8325
DDR4_8Gb_x4_3200,55.9719
DDR4_8Gb_x8_1866,54.3499
DDR4_8Gb_x8_2133,54.2364
DDR4_8Gb_x8_2133_2,54.3634
DDR4_8Gb_x8_2400,55.9027
DDR4_8Gb_x8_2400_2,55.0066
DDR4_8Gb_x8_2666,56.604
DDR4_8Gb_x8_2666_2,56.5979
DDR4_8Gb_x8_2933,56.3108
DDR4_8Gb_x8_2933_2,56.3032
DDR4_8Gb_x8_3200,57.5071
GDDR5X_8Gb_x32,224.831
GDDR5_1Gb_x32,180.652
GDDR5_8Gb_x32,58.8595
GDDR6_8Gb_x16,61.5216
HBM_4Gb_x128,44.1429
HMC_2GB_4Lx16,44.5613
HMC_2GB_4Lx16_dummy,45.2049
HMC_4GB_4Lx16,43.8749
LPDDR3_8Gb_x32_1333,57.2818
LPDDR3_8Gb_x32_1600,58.8046
LPDDR3_8Gb_x32_1866,60.906
LPDDR4_8Gb_x16_2400,74.0221
ddr3_debug,49.7661
ddr4_debug,55.4801
lpddr_2Gb_x16,57.734
