rank_channel_index,x,y,z,power,temperature
0,0,0,0,0.182898,84.2282
0,1,0,0,0,74.4917
0,2,0,0,0,68.977
0,3,0,0,0,65.0537
0,4,0,0,0,61.9754
0,5,0,0,0,59.4553
0,6,0,0,0,57.345
0,7,0,0,0,55.5509
0,8,0,0,0,54.0079
0,9,0,0,0,52.6681
0,10,0,0,0,51.4956
0,11,0,0,0,50.4625
0,12,0,0,0,49.5468
0,13,0,0,0,48.7311
0,14,0,0,0,48.0012
0,15,0,0,0,47.3455
0,16,0,0,0,46.7543
0,17,0,0,0,46.2198
0,18,0,0,0,45.7351
0,19,0,0,0,45.2945
0,20,0,0,0,44.893
0,21,0,0,0,44.5265
0,22,0,0,0,44.1913
0,23,0,0,0,43.8841
0,24,0,0,0,43.6023
0,25,0,0,0,43.3433
0,26,0,0,0,43.105
0,27,0,0,0,42.8856
0,28,0,0,0,42.6831
0,29,0,0,0,42.4963
0,30,0,0,0,42.3236
0,31,0,0,0,42.164
0,32,0,0,0,42.0162
0,33,0,0,0,41.8794
0,34,0,0,0,41.7526
0,35,0,0,0,41.635
0,36,0,0,0,41.5258
0,37,0,0,0,41.4245
0,38,0,0,0,41.3303
0,39,0,0,0,41.2429
0,40,0,0,0,41.1615
0,41,0,0,0,41.0859
0,42,0,0,0,41.0155
0,43,0,0,0,40.95
0,44,0,0,0,40.889
0,45,0,0,0,40.8322
0,46,0,0,0,40.7793
0,47,0,0,0,40.73
0,48,0,0,0,40.6841
0,49,0,0,0,40.6412
0,50,0,0,0,40.6013
0,51,0,0,0,40.5641
0,52,0,0,0,40.5295
0,53,0,0,0,40.4971
0,54,0,0,0,40.467
0,55,0,0,0,40.4389
0,56,0,0,0,40.4128
0,57,0,0,0,40.3884
0,58,0,0,0,40.3657
0,59,0,0,0,40.3445
0,60,0,0,0,40.3249
0,61,0,0,0,40.3065
0,62,0,0,0,40.2895
0,63,0,0,0,40.2736
0,64,0,0,1.78922e-05,40.259
0,65,0,0,0,40.243
0,66,0,0,0,40.2282
0,67,0,0,0,40.2142
0,68,0,0,0,40.2012
0,69,0,0,0,40.1889
0,70,0,0,0,40.1774
0,71,0,0,0,40.1666
0,72,0,0,0,40.1565
0,73,0,0,0,40.147
0,74,0,0,0,40.1381
0,75,0,0,0,40.1297
0,76,0,0,0,40.1219
0,77,0,0,0,40.1145
0,78,0,0,0,40.1076
0,79,0,0,0,40.1011
0,80,0,0,0,40.0951
0,81,0,0,0,40.0894
0,82,0,0,0,40.084
0,83,0,0,0,40.079
0,84,0,0,0,40.0743
0,85,0,0,0,40.0699
0,86,0,0,0,40.0657
0,87,0,0,0,40.0618
0,88,0,0,0,40.0582
0,89,0,0,0,40.0547
0,90,0,0,0,40.0515
0,91,0,0,0,40.0485
0,92,0,0,0,40.0457
0,93,0,0,0,40.043
0,94,0,0,0,40.0405
0,95,0,0,0,40.0382
0,96,0,0,0,40.036
0,97,0,0,0,40.0339
0,98,0,0,0,40.032
0,99,0,0,0,40.0302
0,100,0,0,0,40.0285
0,101,0,0,0,40.0269
0,102,0,0,0,40.0255
0,103,0,0,0,40.0241
0,104,0,0,0,40.0228
0,105,0,0,0,40.0216
0,106,0,0,0,40.0204
0,107,0,0,0,40.0194
0,108,0,0,0,40.0184
0,109,0,0,0,40.0175
0,110,0,0,0,40.0166
0,111,0,0,0,40.0159
0,112,0,0,0,40.0151
0,113,0,0,0,40.0145
0,114,0,0,0,40.0138
0,115,0,0,0,40.0133
0,116,0,0,0,40.0128
0,117,0,0,0,40.0123
0,118,0,0,0,40.0119
0,119,0,0,0,40.0115
0,120,0,0,0,40.0111
0,121,0,0,0,40.0108
0,122,0,0,0,40.0106
0,123,0,0,0,40.0104
0,124,0,0,0,40.0102
0,125,0,0,0,40.01
0,126,0,0,0,40.0099
0,127,0,0,0,40.0099
0,0,1,0,1.78922e-05,74.4944
0,1,1,0,0,70.6659
0,2,1,0,0,66.9236
0,3,1,0,0,63.7411
0,4,1,0,0,61.0642
0,5,1,0,0,58.7943
0,6,1,0,0,56.8511
