vault_id,bank_id,start_x,end_x,start_y,end_y,z
0,0,0,31,0,31,0
0,1,0,31,32,63,0
0,2,32,63,0,31,0
0,3,32,63,32,63,0
0,4,64,95,0,31,0
0,5,64,95,32,63,0
0,6,96,127,0,31,0
0,7,96,127,32,63,0
0,8,128,159,0,31,0
0,9,128,159,32,63,0
0,10,160,191,0,31,0
0,11,160,191,32,63,0
0,12,192,223,0,31,0
0,13,192,223,32,63,0
0,14,224,255,0,31,0
0,15,224,255,32,63,0
1,0,0,31,64,95,0
1,1,0,31,96,127,0
1,2,32,63,64,95,0
1,3,32,63,96,127,0
1,4,64,95,64,95,0
1,5,64,95,96,127,0
1,6,96,127,64,95,0
1,7,96,127,96,127,0
1,8,128,159,64,95,0
1,9,128,159,96,127,0
1,10,160,191,64,95,0
1,11,160,191,96,127,0
1,12,192,223,64,95,0
1,13,192,223,96,127,0
1,14,224,255,64,95,0
1,15,224,255,96,127,0
2,0,0,31,0,31,1
2,1,0,31,32,63,1
2,2,32,63,0,31,1
2,3,32,63,32,63,1
2,4,64,95,0,31,1
2,5,64,95,32,63,1
2,6,96,127,0,31,1
2,7,96,127,32,63,1
2,8,128,159,0,31,1
2,9,128,159,32,63,1
2,10,160,191,0,31,1
2,11,160,191,32,63,1
2,12,192,223,0,31,1
2,13,192,223,32,63,1
2,14,224,255,0,31,1
2,15,224,255,32,63,1
3,0,0,31,64,95,1
3,1,0,31,96,127,1
3,2,32,63,64,95,1
3,3,32,63,96,127,1
3,4,64,95,64,95,1
3,5,64,95,96,127,1
3,6,96,127,64,95,1
3,7,96,127,96,127,1
3,8,128,159,64,95,1
3,9,128,159,96,127,1
3,10,160,191,64,95,1
3,11,160,191,96,127,1
3,12,192,223,64,95,1
3,13,192,223,96,127,1
3,14,224,255,64,95,1
3,15,224,255,96,127,1
4,0,0,31,0,31,2
4,1,0,31,32,63,2
4,2,32,63,0,31,2
4,3,32,63,32,63,2
4,4,64,95,0,31,2
4,5,64,95,32,63,2
4,6,96,127,0,31,2
4,7,96,127,32,63,2
4,8,128,159,0,31,2
4,9,128,159,32,63,2
4,10,160,191,0,31,2
4,11,160,191,32,63,2
4,12,192,223,0,31,2
4,13,192,223,32,63,2
4,14,224,255,0,31,2
4,15,224,255,32,63,2
5,0,0,31,64,95,2
5,1,0,31,96,127,2
5,2,32,63,64,95,2
5,3,32,63,96,127,2
5,4,64,95,64,95,2
5,5,64,95,96,127,2
5,6,96,127,64,95,2
5,7,96,127,96,127,2
5,8,128,159,64,95,2
5,9,128,159,96,127,2
5,10,160,191,64,95,2
5,11,160,191,96,127,2
5,12,192,223,64,95,2
5,13,192,223,96,127,2
5,14,224,255,64,95,2
5,15,224,255,96,127,2
6,0,0,31,0,31,3
6,1,0,31,32,63,3
6,2,32,63,0,31,3
6,3,32,63,32,63,3
6,4,64,95,0,31,3
6,5,64,95,32,63,3
6,6,96,127,0,31,3
6,7,96,127,32,63,3
6,8,128,159,0,31,3
6,9,128,159,32,63,3
6,10,160,191,0,31,3
6,11,160,191,32,63,3
6,12,192,223,0,31,3
6,13,192,223,32,63,3
6,14,224,255,0,31,3
6,15,224,255,32,63,3
7,0,0,31,64,95,3
7,1,0,31,96,127,3
7,2,32,63,64,95,3
7,3,32,63,96,127,3
7,4,64,95,64,95,3
7,5,64,95,96,127,3
7,6,96,127,64,95,3
7,7,96,127,96,127,3
7,8,128,159,64,95,3
7,9,128,159,96,127,3
7,10,160,191,64,95,3
7,11,160,191,96,127,3
7,12,192,223,64,95,3
7,13,192,223,96,127,3
7,14,224,255,64,95,3
7,15,224,255,96,127,3
