vault_id,bank_id,start_x,end_x,start_y,end_y,z
0,0,0,127,0,3,0
0,1,0,127,4,7,0
0,2,0,127,0,3,1
0,3,0,127,4,7,1
0,4,0,127,0,3,2
0,5,0,127,4,7,2
0,6,0,127,0,3,3
0,7,0,127,4,7,3
0,8,0,127,0,3,4
0,9,0,127,4,7,4
0,10,0,127,0,3,5
0,11,0,127,4,7,5
0,12,0,127,0,3,6
0,13,0,127,4,7,6
0,14,0,127,0,3,7
0,15,0,127,4,7,7
1,0,0,127,8,11,0
1,1,0,127,12,15,0
1,2,0,127,8,11,1
1,3,0,127,12,15,1
1,4,0,127,8,11,2
1,5,0,127,12,15,2
1,6,0,127,8,11,3
1,7,0,127,12,15,3
1,8,0,127,8,11,4
1,9,0,127,12,15,4
1,10,0,127,8,11,5
1,11,0,127,12,15,5
1,12,0,127,8,11,6
1,13,0,127,12,15,6
1,14,0,127,8,11,7
1,15,0,127,12,15,7
2,0,0,127,16,19,0
2,1,0,127,20,23,0
2,2,0,127,16,19,1
2,3,0,127,20,23,1
2,4,0,127,16,19,2
2,5,0,127,20,23,2
2,6,0,127,16,19,3
2,7,0,127,20,23,3
2,8,0,127,16,19,4
2,9,0,127,20,23,4
2,10,0,127,16,19,5
2,11,0,127,20,23,5
2,12,0,127,16,19,6
2,13,0,127,20,23,6
2,14,0,127,16,19,7
2,15,0,127,20,23,7
3,0,0,127,24,27,0
3,1,0,127,28,31,0
3,2,0,127,24,27,1
3,3,0,127,28,31,1
3,4,0,127,24,27,2
3,5,0,127,28,31,2
3,6,0,127,24,27,3
3,7,0,127,28,31,3
3,8,0,127,24,27,4
3,9,0,127,28,31,4
3,10,0,127,24,27,5
3,11,0,127,28,31,5
3,12,0,127,24,27,6
3,13,0,127,28,31,6
3,14,0,127,24,27,7
3,15,0,127,28,31,7
4,0,0,127,32,35,0
4,1,0,127,36,39,0
4,2,0,127,32,35,1
4,3,0,127,36,39,1
4,4,0,127,32,35,2
4,5,0,127,36,39,2
4,6,0,127,32,35,3
4,7,0,127,36,39,3
4,8,0,127,32,35,4
4,9,0,127,36,39,4
4,10,0,127,32,35,5
4,11,0,127,36,39,5
4,12,0,127,32,35,6
4,13,0,127,36,39,6
4,14,0,127,32,35,7
4,15,0,127,36,39,7
5,0,0,127,40,43,0
5,1,0,127,44,47,0
5,2,0,127,40,43,1
5,3,0,127,44,47,1
5,4,0,127,40,43,2
5,5,0,127,44,47,2
5,6,0,127,40,43,3
5,7,0,127,44,47,3
5,8,0,127,40,43,4
5,9,0,127,44,47,4
5,10,0,127,40,43,5
5,11,0,127,44,47,5
5,12,0,127,40,43,6
5,13,0,127,44,47,6
5,14,0,127,40,43,7
5,15,0,127,44,47,7
6,0,0,127,48,51,0
6,1,0,127,52,55,0
6,2,0,127,48,51,1
6,3,0,127,52,55,1
6,4,0,127,48,51,2
6,5,0,127,52,55,2
6,6,0,127,48,51,3
6,7,0,127,52,55,3
6,8,0,127,48,51,4
