rank_channel_index,x,y,z,power,temperature
0,0,0,0,0.0959863,57.0051
0,1,0,0,0,52.1004
0,2,0,0,0,49.4496
0,3,0,0,0,47.6577
0,4,0,0,0,46.3186
0,5,0,0,0,45.2724
0,6,0,0,0,44.4358
0,7,0,0,0,43.7563
0,8,0,0,0,43.1979
0,9,0,0,0,42.7348
0,10,0,0,0,42.3476
0,11,0,0,0,42.0218
0,12,0,0,0,41.7461
0,13,0,0,0,41.5116
0,14,0,0,0,41.3115
0,15,0,0,0,41.14
0,16,0,0,0,40.9927
0,17,0,0,0,40.8657
0,18,0,0,0,40.7561
0,19,0,0,0,40.6612
0,20,0,0,0,40.579
0,21,0,0,0,40.5077
0,22,0,0,0,40.4457
0,23,0,0,0,40.3917
0,24,0,0,0,40.3448
0,25,0,0,0,40.3039
0,26,0,0,0,40.2682
0,27,0,0,0,40.2372
0,28,0,0,0,40.2101
0,29,0,0,0,40.1866
0,30,0,0,0,40.1661
0,31,0,0,0,40.1484
0,32,0,0,1.95742e-05,40.1331
0,33,0,0,0,40.1175
0,34,0,0,0,40.1038
0,35,0,0,0,40.0917
0,36,0,0,0,40.0811
0,37,0,0,0,40.0717
0,38,0,0,0,40.0635
0,39,0,0,0,40.0562
0,40,0,0,0,40.0497
0,41,0,0,0,40.0441
0,42,0,0,0,40.039
0,43,0,0,0,40.0346
0,44,0,0,0,40.0307
0,45,0,0,0,40.0273
0,46,0,0,0,40.0242
0,47,0,0,0,40.0215
0,48,0,0,0,40.0192
0,49,0,0,0,40.0171
0,50,0,0,0,40.0152
0,51,0,0,0,40.0136
0,52,0,0,0,40.0122
0,53,0,0,0,40.011
0,54,0,0,0,40.0099
0,55,0,0,0,40.009
0,56,0,0,0,40.0082
0,57,0,0,0,40.0075
0,58,0,0,0,40.0069
0,59,0,0,0,40.0064
0,60,0,0,0,40.006
0,61,0,0,0,40.0057
0,62,0,0,0,40.0055
0,63,0,0,0,40.0053
0,0,1,0,1.95742e-05,52.103
0,1,1,0,0,50.2569
0,2,1,0,0,48.5094
0,3,1,0,0,47.0843
0,4,1,0,0,45.9375
0,5,1,0,0,45.0076
0,6,1,0,0,44.2462
0,7,1,0,0,43.6175
0,8,1,0,0,43.0943
0,9,1,0,0,42.6561
0,10,1,0,0,42.2871
0,11,1,0,0,41.9746
0,12,1,0,0,41.7089
0,13,1,0,0,41.4821
0,14,1,0,0,41.2878
0,15,1,0,0,41.1209
0,16,1,0,0,40.9772
0,17,1,0,0,40.8531
