Config,Max_Temperature
DDR4_4Gb_x16_1866,83.7503
DDR4_4Gb_x16_2133,81.926
DDR4_4Gb_x16_2133_2,81.9321
DDR4_4Gb_x16_2400,84.2469
DDR4_4Gb_x16_2400_2,84.2517
DDR4_4Gb_x16_2666,84.242
DDR4_4Gb_x16_2666_2,84.2282
DDR4_4Gb_x4_1866,71.5627
DDR4_4Gb_x4_2133,70.8462
DDR4_4Gb_x4_2133_2,70.8499
DDR4_4Gb_x4_2400,73.191
DDR4_4Gb_x4_2400_2,73.194
DDR4_4Gb_x4_2666,75.5566
DDR4_4Gb_x4_2666_2,75.5602
DDR4_4Gb_x8_1866,71.4587
DDR4_4Gb_x8_2133,70.7442
DDR4_4Gb_x8_2133_2,70.7478
DDR4_4Gb_x8_2400,73.0861
DDR4_4Gb_x8_2400_2,73.089
DDR4_4Gb_x8_2666,75.4551
DDR4_4Gb_x8_2666_2,75.4587
DDR4_8Gb_x16_1866,85.4764
DDR4_8Gb_x16_2133,79.7614
DDR4_8Gb_x16_2133_2,79.7676
DDR4_8Gb_x16_2400,82.8264
DDR4_8Gb_x16_2400_2,82.8312
DDR4_8Gb_x16_2666,81.4118
DDR4_8Gb_x16_2666_2,81.4172
DDR4_8Gb_x16_2933,80.5604
DDR4_8Gb_x16_2933_2,80.5663
DDR4_8Gb_x16_3200,83.2442
DDR4_8Gb_x4_1866,61.4863
DDR4_8Gb_x4_2133,59.4268
DDR4_8Gb_x4_2133_2,59.4293
DDR4_8Gb_x4_2400,61.2538
DDR4_8Gb_x4_2400_2,61.2558
DDR4_8Gb_x4_2666,61.4299
DDR4_8Gb_x4_2666_2,61.4438
DDR4_8Gb_x4_2933,61.7471
DDR4_8Gb_x4_2933_2,61.7496
DDR4_8Gb_x4_3200,63.4318
DDR4_8Gb_x8_1866,66.2063
DDR4_8Gb_x8_2133,63.5218
DDR4_8Gb_x8_2133_2,63.5251
DDR4_8Gb_x8_2400,67.264
DDR4_8Gb_x8_2400_2,65.3412
DDR4_8Gb_x8_2666,65.0778
DDR4_8Gb_x8_2666_2,65.0637
DDR4_8Gb_x8_2933,65.047
DDR4_8Gb_x8_2933_2,65.0501
DDR4_8Gb_x8_3200,66.75
